year,month,count
85,1,201669
85,2,184323
85,3,182908
85,4,169073
85,5,168585
85,6,161062
85,7,164916
85,8,162748
85,9,161753
85,10,172517
85,11,170305
85,12,189519
86,1,194905
86,2,178546
86,3,190248
86,4,172719
86,5,172391
86,6,163740
86,7,170204
86,8,166234
86,9,163316
86,10,172801
86,11,174650
86,12,188630
87,1,196512
87,2,170579
87,3,186971
87,4,175488
87,5,175098
87,6,167548
87,7,172202
87,8,170290
87,9,165068
87,10,180965
87,11,175900
87,12,189721
88,1,200910
88,2,191855
88,3,198316
88,4,176524
88,5,177020
88,6,168310
88,7,172450
88,8,171714
88,9,166445
88,10,179724
88,11,175460
88,12,192468
89,1,198096
89,2,182651
89,3,193055
89,4,174967
89,5,175729
89,6,165409
89,7,169290
89,8,168416
89,9,165485
89,10,178968
89,11,176066
89,12,205727
90,1,217026
90,2,179039
90,3,186225
90,4,174523
90,5,174819
90,6,169262
90,7,171601
90,8,168723
90,9,166163
90,10,177714
90,11,176760
90,12,190035
91,1,195436
91,2,175997
91,3,192075
91,4,178908
91,5,178497
91,6,170422
91,7,174043
91,8,171042
91,9,167101
91,10,180913
91,11,183567
91,12,205059
92,1,209735
92,2,179504
92,3,186340
92,4,176919
92,5,178732
92,6,170790
92,7,173549
92,8,173264
92,9,169262
92,10,182049
92,11,179973
92,12,199070
93,1,200803
93,2,188018
93,3,212568
93,4,189985
93,5,185450
93,6,175530
93,7,181405
93,8,176532
93,9,173199
93,10,189198
93,11,188012
93,12,211247
94,1,234222
94,2,186344
94,3,195283
94,4,185397
94,5,186932
94,6,178418
94,7,180374
94,8,180382
94,9,176229
94,10,189418
94,11,186447
94,12,202842
95,1,211025
95,2,192557
95,3,207539
95,4,191332
95,5,189764
95,6,179591
95,7,185721
95,8,182629
95,9,177856
95,10,190000
95,11,192743
95,12,214494
1996,1,221863
1996,2,193528
1996,3,203372
1996,4,192079
1996,5,188446
1996,6,178495
1996,7,182276
1996,8,179221
1996,9,175840
1996,10,190580
1996,11,190946
1996,12,221566
1997,1,228595
1997,2,188782
1997,3,205241
1997,4,192190
1997,5,191466
1997,6,178685
1997,7,181767
1997,8,179642
1997,9,175619
1997,10,190605
1997,11,192106
1997,12,212888
1998,1,233585
1998,2,204780
1998,3,206000
1998,4,187092
1998,5,188414
1998,6,181700
1998,7,184413
1998,8,183852
1998,9,178201
1998,10,193663
1998,11,192697
1998,12,206311
1999,1,227924
1999,2,208458
1999,3,227107
1999,4,196859
1999,5,192247
1999,6,180434
1999,7,187121
1999,8,182805
1999,9,180551
1999,10,195919
1999,11,192344
1999,12,223102
2000,1,248182
2000,2,203662
2000,3,202178
2000,4,190735
2000,5,193440
2000,6,183446
2000,7,188900
2000,8,189023
2000,9,187271
2000,10,200102
2000,11,199582
2000,12,220672
2001,1,226976
2001,2,198968
2001,3,215850
2001,4,203027
2001,5,200929
2001,6,191547
2001,7,191578
2001,8,191284
2001,9,189107
2001,10,202679
2001,11,197400
2001,12,210615
2002,1,226269
2002,2,209729
2002,3,226773
2002,4,200051
2002,5,200130
2002,6,188004
2002,7,193578
2002,8,191314
2002,9,187837
2002,10,200253
2002,11,202580
2002,12,220278
2003,1,224460
2003,2,200835
2003,3,213873
2003,4,199672
2003,5,199478
2003,6,191861
2003,7,193996
2003,8,192864
2003,9,188803
2003,10,203089
2003,11,201375
2003,12,241848
2004,1,238085
2004,2,204474
2004,3,210338
2004,4,196664
2004,5,194756
2004,6,186578
2004,7,191099
2004,8,189725
2004,9,184769
2004,10,198484
2004,11,194091
2004,12,212337
2005,1,226822
2005,2,213660
2005,3,231486
2005,4,205188
2005,5,201211
2005,6,187732
2005,7,191821
2005,8,191183
2005,9,185855
2005,10,198348
2005,11,198943
2005,12,220257
2006,1,220491
2006,2,201424
2006,3,222616
2006,4,202438
2006,5,201005
2006,6,188790
2006,7,194983
2006,8,191345
2006,9,188479
2006,10,202552
2006,11,200775
2006,12,215827
2007,1,222496
2007,2,205101
2007,3,218521
2007,4,203303
2007,5,200107
2007,6,188620
2007,7,192725
2007,8,192169
2007,9,188808
2007,10,198969
2007,11,200535
2007,12,216989
2008,1,224358
2008,2,223866
2008,3,233149
2008,4,207206
2008,5,202821
2008,6,190999
2008,7,192404
2008,8,192327
2008,9,188135
2008,10,200910
2008,11,201922
2008,12,218714
2009,1,223341
2009,2,200750
2009,3,216539
2009,4,203284
2009,5,200802
2009,6,191283
2009,7,194924
2009,8,192857
2009,9,190016
2009,10,207592
2009,11,201668
2009,12,218163
2010,1,223161
2010,2,200596
2010,3,219278
2010,4,202607
2010,5,204244
2010,6,192813
2010,7,199391
2010,8,197269
2010,9,193424
2010,10,207146
2010,11,206429
2010,12,226184
2011,1,234052
2011,2,212112
2011,3,225595
2011,4,208652
2011,5,208686
2011,6,197685
2011,7,202464
2011,8,200907
2011,9,195752
2011,10,208310
2011,11,206483
2011,12,219144
2012,1,225789
2012,2,209333
2012,3,221833
2012,4,208524
2012,5,208314
2012,6,199262
2012,7,204343
2012,8,205024
2012,9,201215
2012,10,213914
2012,11,214559
2012,12,235754
2013,1,261504
2013,2,218003
2013,3,233231
2013,4,214119
2013,5,210398
2013,6,200418
2013,7,204931
2013,8,204968
2013,9,199120
2013,10,212081
2013,11,212188
2013,12,230491
2014,1,243719
2014,2,212363
2014,3,228872
2014,4,215957
2014,5,217242
2014,6,205058
2014,7,209757
2014,8,208399
2014,9,205660
2014,10,218565
2014,11,221740
2014,12,243839
2015,1,265882
2015,2,227471
2015,3,243174
2015,4,224841
2015,5,224035
2015,6,211631
2015,7,217451
2015,8,214917
2015,9,210347
2015,10,223987
2015,11,220234
2015,12,234228
2016,1,246319
2016,2,230483
2016,3,244730
2016,4,227628
2016,5,224973
2016,6,213491
2016,7,220147
2016,8,220398
2016,9,214823
2016,10,229400
2016,11,227777
2016,12,249695
2017,1,263429
2017,2,234250
2017,3,252253
2017,4,232291
2017,5,230129
2017,6,219446
2017,7,222442
2017,8,222440
2017,9,220804
2017,10,231707
2017,11,231471
2017,12,259372
2018,1,287473
2018,2,237565
2018,3,249406
2018,4,233686
2018,5,229307
2018,6,220706
2018,7,225718
2018,8,224873
2018,9,219256
2018,10,234463
2018,11,233949
2018,12,249903
2019,1,258264
2019,2,233313
2019,3,255423
2019,4,235792
2019,5,237441
2019,6,226021
2019,7,229857
2019,8,227828
2019,9,223261
2019,10,238169
2019,11,239573
2019,12,256581
2020,1,264692
2020,2,244975
2020,3,269829
2020,4,322443
2020,5,280576
2020,6,250468
2020,7,279029
2020,8,277303
2020,9,257203
2020,10,273926
2020,11,302606
2020,12,367228
